"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate","createdby"
"Berhampur","BP-BAM-2022-05-31-003937","BPA1","2022-05-31","2022-06-03","APPROVED","BP/BAM/000304","2022-07-02","9130547b-3a6b-4929-a740-83de41fa99a4"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-01-002103","BPA1","2022-04-01","2022-04-29","PENDING_ARCHITECT_ACTION_FOR_REWORK",NULL,NULL,"179a5346-df84-458c-87e3-ce2b1f06acca"
"Bhubaneswar","BP-BMC-2022-01-21-000489","BPA1","2022-01-21","2022-04-22","APPROVED","BP/BMC/000366","2022-07-15","04a77734-e1da-4d41-bd62-ccf63f844cd0"
"Bhubaneswar","BP-BMC-2022-07-04-005741","BPA1","2022-07-04","2022-07-05","APPROVED","BP/BMC/000416","2022-07-22","d89d45c5-f29b-443d-a0ec-99fdb08b707b"
"Berhampur","BP-BAM-2022-06-28-005501","BPA1","2022-06-28","2022-06-29","APPROVED","BP/BAM/000417","2022-07-22","9bdecfd0-4f81-4327-91dc-8aed9ad02286"
"Bhubaneswar","BP-BMC-2022-04-21-002732","BPA1","2022-04-21","2022-04-22","APPROVAL_INPROGRESS",NULL,NULL,"50c60c54-9b8d-4460-b5a6-2184b9851d95"
"Bhubaneswar","BP-BMC-2022-03-20-001838","BPA1","2022-03-20","2022-04-21","APPROVED","BP/BMC/000437","2022-07-23","4367b4e4-46a6-4bd1-bcd1-fd5a4b9c29c3"
"Berhampur","BP-BAM-2022-07-20-006327","BPA1","2022-07-20","2022-07-29","DOC_VERIFICATION_INPROGRESS",NULL,NULL,"afacb7a2-1679-4062-b62d-16794c77dae2"
"Bhubaneswar","BP-BMC-2022-07-25-006546","BPA1","2022-07-25","2022-07-26","FIELDINSPECTION_INPROGRESS",NULL,NULL,"1a592f18-0434-4f21-aecf-1b9b7124716e"
"Berhampurdevelopmentauthority","BP-BED-2022-06-20-004908","BPA1","2022-06-20","2022-06-20","APPROVED","BP/BED/000345","2022-07-12","9c00d59a-d3ef-4671-9885-24d549d99639"
"Bhubaneswar","BP-BMC-2022-07-04-005735","BPA1","2022-07-04",NULL,"INITIATED",NULL,NULL,"d89d45c5-f29b-443d-a0ec-99fdb08b707b"
"Cuttack","BP-CTC-2022-07-04-005752","BPA1","2022-07-04","2022-07-12","DOC_VERIFICATION_INPROGRESS",NULL,NULL,"0cb3f1ae-7d97-4bc6-b19b-b0db65792cbd"
"Bhubaneswar","BP-BMC-2022-04-09-002386","BPA1","2022-04-09","2022-04-11","APPROVED","BP/BMC/000323","2022-07-07","4367b4e4-46a6-4bd1-bcd1-fd5a4b9c29c3"
"Bhubaneswar","BP-BMC-2022-07-04-005745","BPA1","2022-07-04","2022-07-04","FIELDINSPECTION_INPROGRESS",NULL,NULL,"a7618a56-897b-4ad2-bf40-f05fef5fa685"
"Bhubaneswar","BP-BMC-2022-07-07-005873","BPA2","2022-07-07","2022-07-07","FIELDINSPECTION_INPROGRESS",NULL,NULL,"de3477e2-6c7d-49a3-b10c-80ee9660d27a"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-28-005522","BPA1","2022-06-28","2022-06-28","APPROVED","BP/BDA/000313","2022-07-06","5a107bdc-9c90-41cd-96af-4919360c7eaf"
"Bhubaneswar","BP-BMC-2022-07-04-005717","BPA2","2022-07-04","2022-07-04","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL,"b9ef6d78-022f-4882-a85a-468b3739777f"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-02-004056","BPA2","2022-06-02","2022-06-02","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL,"7bef1d5d-cadf-4308-bfb1-5459c8132963"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-05-005764","BPA1","2022-07-05","2022-07-28","DOC_VERIFICATION_INPROGRESS",NULL,NULL,"03891331-7fa2-447c-9532-0166ef7c2681"
"Berhampur","BP-BAM-2022-07-22-006433","BPA1","2022-07-22","2022-07-24","FIELDINSPECTION_INPROGRESS",NULL,NULL,"f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Khordha","BP-KHU-2022-07-04-005739","BPA1","2022-07-04","2022-07-04","DOC_VERIFICATION_INPROGRESS",NULL,NULL,"a1271f99-5fb5-4678-a5c3-e584570e87d6"
"Berhampur","BP-BAM-2022-07-29-006695","BPA1","2022-07-29","2022-07-29","DOC_VERIFICATION_INPROGRESS",NULL,NULL,"9bdecfd0-4f81-4327-91dc-8aed9ad02286"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-21-002722","BPA1","2022-04-21","2022-04-22","APPROVED","BP/BDA/000473","2022-07-29","04a77734-e1da-4d41-bd62-ccf63f844cd0"
