"id","filestoreid","filename","contenttype","version","createddate"
3755,"226d6c46-5a3b-4468-b8c0-a84a2002e8fb","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:38.681"
3756,"c74ef16c-c749-41f4-9a85-2257e77ad53b","plandetail.txt","text/plain",0,"2021-02-01 20:34:39.046"
3757,"a7e2b262-9c1e-42d4-b275-a32c52ad9623","plandetail.txt","text/plain",0,"2021-02-01 20:35:40.142"
3758,"dfaabf29-7c40-4d8d-a7f3-b7bcf0921012","01013-2021-QX-v1.pdf","application/pdf",0,"2021-02-01 20:34:39.018"
3759,"a9ecaab4-d98c-493e-b050-364251300554","01012-2021-IB-v1.pdf","application/pdf",0,"2021-02-01 20:35:40.111"
3760,"27a1925a-867f-4919-9fce-b8069711ffec","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:40.229"
3761,"21d62844-fff2-420c-a618-248c5a5719d5","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:40.27"
3762,"cf7693d7-ae93-4b0c-b8cb-1d498495515d","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:39.627"
3763,"15943749-8bf4-47ff-a786-791b98c6e663","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:39.222"
3764,"de13d408-d584-4ae6-8a52-ee4ed9640d8d","plandetail.txt","text/plain",0,"2021-02-01 20:35:40.423"
3765,"a2c13410-dc32-40a5-8697-eacd6bf742b8","01015-2021-HG-v1.pdf","application/pdf",0,"2021-02-01 20:35:40.391"
3766,"0b6f4510-72f9-428a-aeb5-156b475029c8","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:40.608"
3767,"5a1a766e-0fe0-49ff-beaa-57a9fbee2062","plandetail.txt","text/plain",0,"2021-02-01 20:34:39.771"
3768,"0c02d46a-efc4-4246-855a-1697a2c1accd","01014-2021-PO-v1.pdf","application/pdf",0,"2021-02-01 20:34:39.744"
3769,"c7cdcce3-dd18-4fd0-92cf-ddc2a2be7498","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:39.902"
3770,"07f8657d-378a-4815-9d5d-49e0732a5bd4","plandetail.txt","text/plain",0,"2021-02-01 20:35:41.367"
3771,"4522a280-8907-4c7f-9d2a-b138aeec9b72","01017-2021-ZO-v1.pdf","application/pdf",0,"2021-02-01 20:35:41.338"
3772,"74cd6566-cd4a-4bbe-bbcc-98ed53428ac8","plandetail.txt","text/plain",0,"2021-02-01 20:35:41.501"
3773,"2f7749e0-68d6-4d72-bd1a-ad513f852a36","01018-2021-WW-v1.pdf","application/pdf",0,"2021-02-01 20:35:41.478"
3774,"65e01ce0-88e1-48d3-a460-6de7edd21bb8","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:41.511"
3775,"8ec0af92-fb13-4630-8b5f-b4c9f733129c","plandetail.txt","text/plain",0,"2021-02-01 20:34:40.429"
3776,"b23431c1-ec37-4f48-a455-ea840cf2d61b","01020-2021-JU-v1.pdf","application/pdf",0,"2021-02-01 20:34:40.409"
3777,"f8ed79f5-a9a5-4fdc-bb41-b2f14a96edab","plandetail.txt","text/plain",0,"2021-02-01 20:34:40.504"
3778,"c69c37b1-78ca-4bc7-97b6-477b04cc5a78","01023-2021-KM-v1.pdf","application/pdf",0,"2021-02-01 20:34:40.478"
3779,"fadffb29-c8f2-44db-80fe-4789a72eba96","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:41.636"
