"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Bhubaneswar","BP-BMC-2022-03-04-001372","BPA1","2022-03-04","2022-03-04","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-17-001805","BPA1","2022-03-17","2022-03-18","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-26-001968","BPA1","2022-03-26","2022-03-26","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Berhampur","BP-BAM-2022-06-16-004745","BPA1","2022-06-16",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-03-24-001938","BPA1","2022-03-24",NULL,"INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-27-006608","BPA1","2022-07-27",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-23-006478","BPA1","2022-07-23",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-02-02-000642","BPA1","2022-02-02","2022-02-04","APPROVED","BP/RRK/000044","2022-02-15"
"Sundargarh","BP-SNG-2022-07-20-006381","BPA1","2022-07-20","2022-07-22","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-28-001233","BPA1","2022-02-28",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-15-000883","BPA2","2022-02-15",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-15-000886","BPA2","2022-02-15",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-06-001437","BPA1","2022-03-06",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2021-12-12-000194","BPA1","2021-12-12","2022-03-03","REJECTED",NULL,NULL
"Sambalpur","BP-SMB-2022-07-06-005825","BPA1","2022-07-06","2022-07-07","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-28-002962","BPA1","2022-04-28","2022-04-28","APPROVED","BP/BMC/000360","2022-07-14"
"Bhubaneswar","BP-BMC-2022-02-15-000889","BPA2","2022-02-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-18-006233","BPA4","2022-07-18",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-09-000768","BPA1","2022-02-09","2022-04-13","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001669","BPA1","2022-03-14",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-08-001511","BPA1","2022-03-08","2022-03-10","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-03-08-001487","BPA1","2022-03-08","2022-03-08","APPROVED","BP/RRK/000098","2022-04-09"
"Bhubaneswar","BP-BMC-2022-07-20-006378","BPA1","2022-07-20","2022-07-20","FIELDINSPECTION_INPROGRESS",NULL,NULL
